360.96 6250 172.80
368.48 6122 176.40
364.72 6186 174.60
368.48 6122 176.40 
372.24 6061 178.20
376 6000 180.00
379.76 5941 181.80
383.52 5882 183.60
387.28 5825 185.40
391.04 5769 187.20
394.80 5714 189.00
398.56 5660 190.80
402.32 5607 192.60
406.08 5556 194.40
409.84 5505 196.20
413.60 5455 198.00
417.36 5405 199.80
421.12 5357 201.60
424.88 5310 203.40
428.64 5263 205.20
432.40 5217 207.00
436.16 5172 208.80
439.92 5128 210.60
443.68 5085 212.40
447.44 5042 214.20
451.20 5000 216.00
342.16 6593 163.80
345.92 6522 165.60
349.68 6452 167.40
353.44 6383 169.20
357.20 6316 171.00
454.96 4959 217.80
458.72 4918 219.60
462.48 4878 221.40
466.24 4839 223.20
470.00 4800 225.00
473.76 4762 226.80
477.52 4724 228.60
481.28 4688 230.40
485.04 4651 232.20
488.80 4615 234.00
492.56 4580 235.80
496.32 4545 237.60
500.08 4511 239.40
503.84 4478 241.20
507.60 4444 243.00
511.36 4412 244.80
